index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
25031,2025-03-02,1,3,0,0,0,0,0,0,1,3,1,3,3,3
25030,2025-03-01,0,3,0,0,3,3,1,3,0,0,3,0,3,3
25029,2025-02-27,3,3,0,3,1,3,1,0,3,3,3,1,1,0
25028,2025-02-24,3,0,1,3,1,3,0,0,3,0,3,3,3,1
25027,2025-02-23,0,0,0,0,0,3,0,3,0,3,3,3,0,0
25026,2025-02-22,0,3,3,3,1,3,0,3,3,3,1,3,1,3
25025,2025-02-21,3,1,3,3,0,1,3,3,0,1,0,0,3,0
25024,2025-02-20,3,3,*,0,1,0,1,1,1,3,3,3,1,1
25023,2025-02-17,3,3,0,3,0,1,3,0,3,3,3,0,0,0
25022,2025-02-16,3,3,0,0,0,3,0,0,0,1,1,3,1,1
25021,2025-02-15,3,3,1,3,3,3,0,1,0,0,0,3,3,0
25020,2025-02-14,3,3,0,0,3,3,0,1,0,1,0,0,3,0
25019,2025-02-13,3,0,3,0,0,3,0,3,0,1,0,3,0,3
25018,2025-02-10,3,3,1,3,3,3,1,1,3,3,1,3,0,3
25017,2025-02-09,0,0,3,0,1,1,1,0,1,3,0,1,3,0
25016,2025-02-08,3,3,3,0,0,3,0,3,1,0,3,3,0,1
25015,2025-01-26,3,0,3,0,0,3,3,1,0,3,1,3,1,0
25014,2025-01-25,0,1,0,1,3,1,1,0,3,3,1,3,3,3
25013,2025-01-24,3,0,0,0,0,3,3,3,3,0,3,3,3,3
25012,2025-01-23,3,3,3,0,3,1,0,3,3,3,3,3,3,0
25011,2025-01-20,3,0,3,0,3,0,3,1,0,3,3,1,3,1
25010,2025-01-19,0,0,0,1,3,1,0,3,3,3,0,0,1,0
25009,2025-01-18,1,3,1,0,3,3,3,3,3,0,3,3,3,3
25008,2025-01-17,0,3,0,3,0,3,3,3,3,0,1,1,3,3
25007,2025-01-15,1,1,3,1,1,1,3,3,3,3,0,1,1,1
25006,2025-01-13,1,3,3,0,0,1,3,3,0,0,0,3,1,0
25005,2025-01-12,3,0,3,3,0,0,0,1,1,1,3,1,0,0
25004,2025-01-12,3,0,1,3,1,1,0,1,1,3,0,*,3,0
25003,2025-01-07,1,1,0,1,1,3,0,3,3,3,1,1,0,1
25002,2025-01-05,3,3,1,3,0,1,1,0,1,3,1,1,0,0
25001,2025-01-03,0,1,3,0,1,1,1,0,3,3,3,0,3,3
24208,2024-12-30,0,3,0,1,1,0,0,3,0,1,1,1,1,3
24207,2024-12-27,1,0,3,3,0,3,3,1,3,1,3,0,3,0
24206,2024-12-23,1,1,0,0,0,3,0,3,3,0,3,0,3,1
24205,2024-12-22,0,0,1,0,0,0,0,3,3,0,0,3,0,0
24204,2024-12-21,3,3,0,0,0,3,3,1,0,1,0,3,3,3
24203,2024-12-20,3,3,1,1,3,3,1,1,3,3,3,1,1,3
24202,2024-12-19,1,0,3,3,3,1,1,0,3,0,3,1,3,1
24201,2024-12-16,0,0,3,0,0,1,3,3,3,1,1,1,0,0
24200,2024-12-15,1,1,3,0,3,0,3,0,0,1,3,1,1,1
24199,2024-12-14,3,3,0,3,0,3,3,0,3,1,3,0,1,0
24198,2024-12-13,1,1,1,1,3,3,3,0,0,3,3,1,0,3
24197,2024-12-12,3,3,3,3,1,0,3,3,3,0,0,1,0,3
24196,2024-12-11,0,0,3,3,3,0,0,1,3,0,1,0,1,3
24195,2024-12-09,1,0,1,0,3,1,0,1,0,3,1,3,3,0
24194,2024-12-08,3,3,1,0,3,1,0,3,0,1,1,3,1,0
24193,2024-12-07,1,3,3,0,3,3,3,3,1,3,3,3,3,1
24192,2024-12-06,3,0,3,3,1,0,3,3,3,3,1,3,3,3
24191,2024-12-04,3,1,1,1,3,0,3,3,0,0,3,3,3,0
24190,2024-12-04,3,3,1,3,3,0,0,3,*,1,3,0,3,3
24189,2024-12-01,3,1,3,0,0,3,0,0,1,1,3,3,0,1
24188,2024-11-30,1,3,3,0,0,3,3,0,1,3,1,1,3,3
24187,2024-11-29,1,3,1,1,3,0,3,3,0,0,3,0,1,1
24186,2024-11-29,3,3,3,3,1,0,1,3,0,0,3,0,*,0
24185,2024-11-27,0,0,3,3,3,3,1,0,0,3,3,3,3,1
24184,2024-11-25,0,1,0,3,1,0,3,3,3,0,3,3,3,3
24183,2024-11-24,3,1,0,1,0,0,3,3,3,1,0,3,0,1
24182,2024-11-23,1,3,3,0,3,3,3,1,1,3,0,3,1,0
24181,2024-11-20,0,3,3,1,1,3,1,1,3,1,3,3,3,3
24180,2024-11-19,0,3,1,3,0,3,0,1,1,0,3,1,3,1
24179,2024-11-17,3,1,0,0,3,3,1,1,0,1,1,3,3,3
24178,2024-11-15,1,0,0,1,3,3,1,3,3,0,0,0,3,0
24177,2024-11-11,3,0,0,1,1,0,0,0,1,0,1,3,1,3
24176,2024-11-10,3,0,1,3,3,3,1,3,0,1,1,3,3,3
24175,2024-11-09,3,1,3,1,1,0,0,3,1,0,1,3,0,3
24174,2024-11-08,0,1,3,3,0,1,1,3,1,3,1,3,3,3
24173,2024-11-07,3,3,0,0,3,0,0,0,3,0,0,3,3,1
24172,2024-11-06,3,0,3,3,1,3,0,3,0,3,0,3,3,3
24171,2024-11-04,3,1,1,3,0,3,3,3,0,1,3,3,3,0
24170,2024-11-04,3,3,3,3,1,1,3,3,1,3,0,0,*,3
24169,2024-11-02,1,1,3,1,3,0,1,3,3,3,0,1,1,3
24168,2024-10-31,3,3,3,1,3,3,0,0,3,0,0,3,3,1
24167,2024-10-28,3,3,3,1,0,1,3,1,3,1,3,0,1,0
24166,2024-10-28,1,1,3,3,1,3,3,1,1,*,3,3,3,0
24165,2024-10-26,0,0,1,0,3,3,3,0,3,3,3,1,3,3
24164,2024-10-25,3,3,3,1,0,3,3,0,1,0,0,3,3,3
24163,2024-10-24,3,3,3,0,1,3,0,1,1,0,3,3,0,0
24162,2024-10-21,0,3,0,0,0,0,3,0,3,1,3,0,1,0
24161,2024-10-20,0,0,3,0,0,3,3,3,0,3,3,3,0,0
24160,2024-10-19,3,3,3,3,0,1,1,3,0,3,0,1,0,0
24159,2024-10-16,1,3,3,3,3,1,1,3,3,3,1,1,3,1
24158,2024-10-15,0,0,0,1,3,1,3,0,0,0,0,3,0,3
24157,2024-10-13,3,3,0,3,1,1,1,3,1,3,0,0,3,3
24156,2024-10-11,3,0,1,1,3,3,0,3,1,3,0,0,1,3
24155,2024-10-07,1,1,3,0,1,1,3,1,3,0,3,1,1,1
24154,2024-10-06,3,3,3,3,3,1,0,1,3,0,0,3,3,0
24153,2024-09-30,1,0,0,0,3,3,1,3,1,3,1,0,0,3
24152,2024-09-29,3,1,3,3,0,0,0,0,3,3,1,1,0,3
24151,2024-09-28,3,3,0,3,3,0,3,3,3,1,3,3,3,0
24150,2024-09-27,3,0,3,1,3,1,3,3,3,3,0,1,0,3
24149,2024-09-26,3,3,3,3,0,1,1,1,3,1,1,3,3,0
24148,2024-09-25,0,3,0,3,1,3,3,3,1,3,3,3,3,3
24147,2024-09-23,1,1,3,3,1,0,3,0,3,0,1,3,3,0
24146,2024-09-22,3,3,1,3,1,3,1,1,0,3,0,3,1,1
24145,2024-09-21,0,0,3,0,0,0,3,3,3,3,1,0,0,0
24144,2024-09-20,1,3,0,3,1,3,0,0,1,3,3,3,3,0
24143,2024-09-18,1,1,3,3,3,3,3,0,0,3,3,0,3,3
24142,2024-09-16,0,0,3,0,1,3,0,1,0,0,3,3,1,1
24141,2024-09-15,1,1,1,0,3,3,0,0,0,1,0,0,3,0
24140,2024-09-14,0,3,3,1,3,3,3,1,0,1,3,0,0,3
24139,2024-09-11,0,1,0,0,0,0,1,3,1,0,3,1,0,1
24138,2024-09-10,0,3,3,3,3,3,3,0,0,3,0,3,3,3
24137,2024-09-08,3,1,1,0,3,0,1,1,3,0,3,3,3,0
24136,2024-09-06,0,3,1,3,3,0,1,1,0,3,3,3,0,1
24135,2024-09-02,1,3,0,3,3,1,0,1,3,0,1,3,1,0
24134,2024-09-01,3,0,1,0,1,0,0,3,1,1,0,1,3,0
24133,2024-08-31,0,3,3,0,0,3,3,0,1,0,0,0,1,3
24132,2024-08-30,0,3,3,3,0,1,0,1,3,0,3,3,3,1
24131,2024-08-29,0,1,3,3,3,3,3,1,0,3,1,1,0,0
24130,2024-08-26,1,0,3,0,0,3,1,3,0,3,1,3,3,1
24129,2024-08-25,0,3,3,0,3,0,1,3,3,1,3,3,3,0
24128,2024-08-24,0,0,3,3,3,0,3,0,0,3,3,0,0,0
24127,2024-08-23,0,1,3,3,1,0,3,0,3,3,0,3,3,1
24126,2024-08-22,3,3,0,0,0,0,0,3,3,3,0,0,1,3
24125,2024-08-19,3,0,1,3,1,3,0,1,3,1,1,0,3,3
24124,2024-08-18,3,0,3,1,0,1,1,1,1,1,1,0,0,0
24123,2024-08-17,3,3,3,1,0,3,3,1,3,3,3,0,0,3
24122,2024-08-16,3,3,3,0,0,0,3,3,0,0,1,3,1,1
24121,2024-08-15,1,1,3,1,3,1,1,0,0,0,0,3,3,1
24120,2024-08-12,3,3,0,3,0,3,0,1,3,3,3,3,1,0
24119,2024-08-11,0,0,1,1,3,0,3,0,3,1,0,3,0,1
24118,2024-08-10,1,0,3,0,1,3,3,0,3,0,3,0,3,1
24117,2024-08-09,3,0,0,0,1,0,3,3,1,3,1,0,0,1
24116,2024-08-08,1,3,3,1,0,1,3,1,1,3,3,3,3,0
24115,2024-08-04,3,0,1,3,0,3,0,3,1,3,0,0,3,3
24114,2024-08-02,0,3,0,0,0,3,0,3,0,0,3,3,0,0
24113,2024-07-31,1,0,3,0,3,3,0,3,3,3,1,3,0,3
24112,2024-07-29,0,0,3,3,0,3,0,3,3,1,3,3,1,3
24111,2024-07-28,3,0,3,0,0,0,3,3,3,0,0,3,1,1
24110,2024-07-26,0,0,0,3,3,3,3,3,3,0,3,3,3,1
24109,2024-07-26,3,1,0,3,3,1,1,0,0,3,0,*,3,3
24108,2024-07-18,3,1,1,0,1,0,1,3,1,3,0,3,3,1
24107,2024-07-15,1,0,3,3,0,0,3,1,3,3,0,0,3,1
24106,2024-07-14,3,3,1,3,0,3,3,1,0,1,3,3,0,1
24105,2024-07-11,0,0,3,0,1,0,0,0,3,3,3,0,3,0
24104,2024-07-11,0,3,1,3,3,0,1,0,3,3,*,3,3,3
24103,2024-07-07,3,3,1,1,3,1,1,1,3,3,3,1,3,1
24102,2024-07-05,0,1,3,0,3,0,3,3,0,3,3,3,3,0
24101,2024-07-03,3,1,3,3,1,0,0,3,0,1,0,0,1,3
24100,2024-06-30,3,3,1,1,0,0,3,0,3,1,3,1,3,3
24099,2024-06-28,3,1,0,1,1,1,0,3,0,3,3,3,0,3
24098,2024-06-26,0,1,0,1,1,0,1,1,3,3,3,1,0,0
24097,2024-06-23,1,0,3,0,3,0,3,0,3,3,0,3,1,0
24096,2024-06-22,3,3,3,1,3,1,1,1,3,0,0,1,1,3
24095,2024-06-18,1,3,1,1,3,0,1,3,0,1,0,3,0,0
24094,2024-06-16,0,3,3,3,0,3,3,0,3,3,0,1,3,3
24093,2024-06-13,1,1,0,3,3,0,3,1,3,3,3,0,3,3
24092,2024-06-12,3,3,3,3,3,3,1,3,3,1,1,1,3,0
24091,2024-06-09,1,0,1,0,3,3,3,0,1,1,3,3,1,1
24090,2024-06-07,0,0,1,0,0,3,1,3,1,0,1,1,3,3
24089,2024-06-06,3,3,1,1,3,3,3,1,3,3,3,3,3,0
24088,2024-06-03,0,3,0,0,3,0,1,0,1,3,1,0,1,0
24087,2024-06-02,0,3,3,0,1,3,1,3,3,0,3,3,1,3
24086,2024-05-31,1,0,3,3,1,3,3,3,1,3,3,1,1,3
24085,2024-05-27,0,3,1,3,0,1,1,1,1,0,1,3,3,0
24084,2024-05-26,3,0,0,3,1,1,0,3,0,1,0,3,0,1
24083,2024-05-24,0,1,1,3,0,3,1,1,3,0,3,0,0,3
24082,2024-05-20,3,0,0,3,3,0,1,3,1,0,0,0,3,1
24081,2024-05-19,3,0,3,3,3,3,1,3,3,0,3,3,0,0
24080,2024-05-17,3,1,0,3,1,1,0,3,3,0,0,3,3,0
24079,2024-05-16,0,3,0,0,3,3,0,3,0,3,3,3,0,0
24078,2024-05-15,1,0,0,3,3,1,3,0,3,1,0,0,3,0
24077,2024-05-13,0,0,3,0,3,0,1,3,3,1,3,0,0,0
24076,2024-05-12,0,1,0,3,3,3,0,1,1,3,1,3,0,3
24075,2024-05-11,0,3,1,0,1,3,1,1,1,0,3,0,0,0
24074,2024-05-10,0,3,1,3,1,3,3,0,1,0,0,3,0,3
24073,2024-05-06,3,3,3,0,0,1,1,3,1,1,3,0,1,3
24072,2024-05-05,0,1,0,3,3,1,3,3,1,3,3,0,3,1
24071,2024-05-04,1,1,3,3,1,0,0,3,3,0,3,1,1,3
24070,2024-05-03,1,3,0,1,0,3,3,0,0,3,3,0,3,3
24069,2024-04-29,0,3,0,1,1,0,1,1,3,3,3,1,3,1
24068,2024-04-28,1,3,1,1,3,1,3,0,3,0,1,1,1,3
24067,2024-04-27,3,3,3,1,3,0,1,0,1,1,3,1,1,1
24066,2024-04-26,3,0,3,3,3,0,3,3,1,0,0,3,0,3
24065,2024-04-24,3,3,0,3,0,0,3,3,0,3,0,3,0,0
24064,2024-04-22,3,3,0,1,1,0,0,0,3,3,0,1,3,3
24063,2024-04-21,0,0,0,3,0,3,0,0,3,3,3,0,3,3
24062,2024-04-20,1,3,0,1,0,1,1,3,0,3,3,1,1,1
24061,2024-04-19,3,3,1,0,3,3,1,3,1,0,3,3,3,0
24060,2024-04-18,3,3,0,3,3,3,1,1,0,0,0,3,3,0
24059,2024-04-18,0,0,0,0,3,1,*,1,3,1,1,1,3,3
24058,2024-04-14,1,1,3,3,1,1,3,3,0,3,1,1,0,1
24057,2024-04-13,3,3,3,3,3,3,3,3,0,0,0,3,0,0
24056,2024-04-12,3,0,0,0,3,3,3,1,3,3,3,1,1,3
24055,2024-04-10,1,1,3,3,1,1,1,3,0,0,3,1,0,1
24054,2024-04-08,1,1,3,3,0,0,0,3,3,1,1,3,0,0
24053,2024-04-07,3,0,0,1,3,0,0,0,3,0,3,3,1,3
24052,2024-04-05,1,3,3,3,3,3,3,0,3,1,1,1,1,0
24051,2024-04-03,3,1,3,1,1,1,0,3,3,0,0,1,1,1
24050,2024-04-02,1,0,0,3,0,0,3,3,1,1,1,3,0,0
24049,2024-04-01,3,1,1,1,1,3,0,3,0,0,0,3,0,0
24048,2024-03-31,1,3,1,3,3,1,0,3,1,0,3,0,1,3
24047,2024-03-30,3,1,0,0,3,0,1,3,0,1,3,0,3,0
24046,2024-03-27,3,0,0,1,0,1,3,0,3,3,1,1,1,3
24045,2024-03-24,0,3,1,3,0,0,0,1,0,1,0,1,1,3
24044,2024-03-22,1,0,1,3,3,3,3,3,3,3,3,3,3,0
24043,2024-03-22,1,1,0,3,0,*,3,1,3,0,3,0,3,3
