playid,host,guest,result,sj,odds
24197,马德里竞技,布拉迪斯拉发,3,https://odds.500.com/fenxi/shuju-1171584.shtml,https://odds.500.com/fenxi/ouzhi-1171584.shtml
24197,里尔,格拉茨风暴,3,https://odds.500.com/fenxi/shuju-1171585.shtml,https://odds.500.com/fenxi/ouzhi-1171585.shtml
24197,AC米兰,贝尔格莱德红星,3,https://odds.500.com/fenxi/shuju-1171586.shtml,https://odds.500.com/fenxi/ouzhi-1171586.shtml
24197,阿森纳,摩纳哥,3,https://odds.500.com/fenxi/shuju-1171587.shtml,https://odds.500.com/fenxi/ouzhi-1171587.shtml
24197,本菲卡,博洛尼亚,1,https://odds.500.com/fenxi/shuju-1171588.shtml,https://odds.500.com/fenxi/ouzhi-1171588.shtml
24197,多特蒙德,巴塞罗那,0,https://odds.500.com/fenxi/shuju-1171589.shtml,https://odds.500.com/fenxi/ouzhi-1171589.shtml
24197,费耶诺德,布拉格斯巴达,3,https://odds.500.com/fenxi/shuju-1171590.shtml,https://odds.500.com/fenxi/ouzhi-1171590.shtml
24197,尤文图斯,曼彻斯特城,3,https://odds.500.com/fenxi/shuju-1171591.shtml,https://odds.500.com/fenxi/ouzhi-1171591.shtml
24197,斯图加特,年轻人,3,https://odds.500.com/fenxi/shuju-1171592.shtml,https://odds.500.com/fenxi/ouzhi-1171592.shtml
24197,费内巴切,毕尔巴鄂竞技,0,https://odds.500.com/fenxi/shuju-1171815.shtml,https://odds.500.com/fenxi/ouzhi-1171815.shtml
24197,加的夫城,普雷斯顿,0,https://odds.500.com/fenxi/shuju-1151505.shtml,https://odds.500.com/fenxi/ouzhi-1151505.shtml
24197,赫尔城,沃特福德,1,https://odds.500.com/fenxi/shuju-1151506.shtml,https://odds.500.com/fenxi/ouzhi-1151506.shtml
24197,米尔沃尔,谢菲尔德联,0,https://odds.500.com/fenxi/shuju-1151500.shtml,https://odds.500.com/fenxi/ouzhi-1151500.shtml
24197,西布罗姆维奇,考文垂,3,https://odds.500.com/fenxi/shuju-1151508.shtml,https://odds.500.com/fenxi/ouzhi-1151508.shtml
24196,赫罗纳,利物浦,0,https://odds.500.com/fenxi/shuju-1171576.shtml,https://odds.500.com/fenxi/ouzhi-1171576.shtml
24196,亚特兰大,皇家马德里,0,https://odds.500.com/fenxi/shuju-1171577.shtml,https://odds.500.com/fenxi/ouzhi-1171577.shtml
24196,布雷斯特,PSV埃因霍温,3,https://odds.500.com/fenxi/shuju-1171579.shtml,https://odds.500.com/fenxi/ouzhi-1171579.shtml
24196,布鲁日,里斯本竞技,3,https://odds.500.com/fenxi/shuju-1171580.shtml,https://odds.500.com/fenxi/ouzhi-1171580.shtml
24196,勒沃库森,国际米兰,3,https://odds.500.com/fenxi/shuju-1171578.shtml,https://odds.500.com/fenxi/ouzhi-1171578.shtml
24196,莱比锡红牛,阿斯顿维拉,0,https://odds.500.com/fenxi/shuju-1171581.shtml,https://odds.500.com/fenxi/ouzhi-1171581.shtml
24196,萨尔茨堡,巴黎圣日尔曼,0,https://odds.500.com/fenxi/shuju-1171582.shtml,https://odds.500.com/fenxi/ouzhi-1171582.shtml
24196,伯恩利,德比郡,1,https://odds.500.com/fenxi/shuju-1151497.shtml,https://odds.500.com/fenxi/ouzhi-1151497.shtml
24196,卢顿,斯托克城,3,https://odds.500.com/fenxi/shuju-1151499.shtml,https://odds.500.com/fenxi/ouzhi-1151499.shtml
24196,普利茅斯,斯旺西,0,https://odds.500.com/fenxi/shuju-1151501.shtml,https://odds.500.com/fenxi/ouzhi-1151501.shtml
24196,朴次茅斯,诺维奇,1,https://odds.500.com/fenxi/shuju-1151502.shtml,https://odds.500.com/fenxi/ouzhi-1151502.shtml
24196,谢菲尔德星期三,布莱克本,0,https://odds.500.com/fenxi/shuju-1151503.shtml,https://odds.500.com/fenxi/ouzhi-1151503.shtml
24196,桑德兰,布里斯托尔城,1,https://odds.500.com/fenxi/shuju-1151504.shtml,https://odds.500.com/fenxi/ouzhi-1151504.shtml
24196,利兹联,米德尔斯堡,3,https://odds.500.com/fenxi/shuju-1151498.shtml,https://odds.500.com/fenxi/ouzhi-1151498.shtml
24195,富勒姆,阿森纳,1,https://odds.500.com/fenxi/shuju-1147468.shtml,https://odds.500.com/fenxi/ouzhi-1147468.shtml
24195,伊普斯维奇,伯恩茅斯,0,https://odds.500.com/fenxi/shuju-1147469.shtml,https://odds.500.com/fenxi/ouzhi-1147469.shtml
24195,莱切斯特城,布赖顿,1,https://odds.500.com/fenxi/shuju-1147470.shtml,https://odds.500.com/fenxi/ouzhi-1147470.shtml
24195,托特纳姆热刺,切尔西,0,https://odds.500.com/fenxi/shuju-1147472.shtml,https://odds.500.com/fenxi/ouzhi-1147472.shtml
24195,沃尔夫斯堡,美因茨,3,https://odds.500.com/fenxi/shuju-1156769.shtml,https://odds.500.com/fenxi/ouzhi-1156769.shtml
24195,霍芬海姆,弗赖堡,1,https://odds.500.com/fenxi/shuju-1156766.shtml,https://odds.500.com/fenxi/ouzhi-1156766.shtml
24195,维罗纳,恩波利,0,https://odds.500.com/fenxi/shuju-1156422.shtml,https://odds.500.com/fenxi/ouzhi-1156422.shtml
24195,威尼斯,科莫,1,https://odds.500.com/fenxi/shuju-1156421.shtml,https://odds.500.com/fenxi/ouzhi-1156421.shtml
24195,那不勒斯,拉齐奥,0,https://odds.500.com/fenxi/shuju-1156420.shtml,https://odds.500.com/fenxi/ouzhi-1156420.shtml
24195,毕尔巴鄂竞技,比利亚雷亚尔,3,https://odds.500.com/fenxi/shuju-1151039.shtml,https://odds.500.com/fenxi/ouzhi-1151039.shtml
