issueid,playid,leage,host,guest,"('old_ods_w', 'min')","('old_ods_w', 'mean')","('old_ods_w', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('new_ods_w', 'min')","('new_ods_w', 'mean')","('new_ods_w', 'max')","('new_ods_d', 'min')","('new_ods_d', 'mean')","('new_ods_d', 'max')","('new_ods_l', 'min')","('new_ods_l', 'mean')","('new_ods_l', 'max')","('w_p', 'min')","('w_p', 'mean')","('w_p', 'max')","('d_p', 'min')","('d_p', 'mean')","('d_p', 'max')","('l_p', 'min')","('l_p', 'mean')","('l_p', 'max')","('kl_w', 'min')","('kl_w', 'mean')","('kl_w', 'max')","('kl_d', 'min')","('kl_d', 'mean')","('kl_d', 'max')","('kl_l', 'min')","('kl_l', 'mean')","('kl_l', 'max')","('ex_r', 'min')","('ex_r', 'mean')","('ex_r', 'max')","('lsd', 'klw')","('lsd', 'kld')","('lsd', 'kll')","('fc', 'klw')","('fc', 'kld')","('fc', 'kll')"
24172,3487464,欧　冠,埃因霍温,赫罗纳,1.60,1.78,1.88,3.20,3.89,4.25,3.62,4.04,4.60,1.58,1.71,1.81,3.65,4.03,4.30,3.95,4.44,4.90,52.94,55.19,57.17,22.30,23.49,24.70,20.07,21.32,23.24,0.87,0.95,1,0.86,0.95,1.01,0.84,0.95,1.04,0.88,0.95,1.00,0.36,1.07,1.79,0.13,1.15,3.22
24172,3487483,欧　冠,博洛尼亚,摩纳哥,2.50,2.69,2.89,2.98,3.31,3.70,2.26,2.54,2.71,2.50,2.71,2.85,3.10,3.35,3.55,2.26,2.57,2.70,33.41,34.96,35.78,26.60,28.24,29.58,35.60,36.81,39.76,0.87,0.95,1,0.88,0.95,1,0.83,0.95,0.99,0.88,0.95,0.98,0.55,0.76,0.67,0.3,0.58,0.45
24172,3487371,欧　冠,凯尔特人,莱比锡红牛,2.74,3.31,3.71,3.15,3.74,4.10,1.81,2.02,2.26,2.90,3.21,3.44,3.39,3.79,4.00,1.85,2.08,2.24,27.58,29.52,31.20,23.34,25.03,26.73,42.34,45.46,48.58,0.86,0.95,1.02,0.85,0.95,1,0.84,0.95,1.02,0.88,0.95,0.99,0.82,1.05,0.53,0.67,1.11,0.29
24172,3487380,欧　冠,多特蒙德,格风暴,1.09,1.16,1.22,5.70,7.46,9.20,5.70,14.03,18.50,1.09,1.17,1.29,6.40,8.00,9.80,5.90,13.53,18.00,70.57,81.03,84.19,10.14,11.87,14.00,5.25,7.09,15.43,0.88,0.95,1.05,0.76,0.95,1.16,0.42,0.96,1.28,0.88,0.95,0.99,0.2,5.29,15.92,0.04,28.0,253.28
24172,3487445,欧　冠,里尔,尤文图斯,2.47,2.76,3.05,2.90,3.21,3.50,2.15,2.57,2.88,2.56,2.86,3.05,2.90,3.16,3.38,2.26,2.57,2.75,31.57,33.16,36.51,28.04,29.93,31.29,34.38,36.91,39.83,0.85,0.95,1.01,0.87,0.95,1.01,0.83,0.95,1.01,0.88,0.95,0.99,0.89,0.67,0.84,0.79,0.45,0.7
24172,3487395,欧　冠,利物浦,勒沃库森,1.45,1.61,1.75,3.65,4.29,4.60,3.85,4.74,5.25,1.55,1.70,1.77,3.70,4.14,5.30,2.89,4.40,5.00,51.38,55.55,59.95,17.16,22.88,24.67,18.59,21.57,31.47,0.86,0.95,0.98,0.85,0.95,1.21,0.62,0.95,1.08,0.88,0.95,0.99,0.36,1.66,2.06,0.13,2.77,4.23
24172,3487389,欧　冠,皇马,AC米兰,1.34,1.45,1.58,4.10,4.72,5.30,3.00,6.04,7.00,1.37,1.48,1.59,4.10,4.75,5.20,5.00,5.94,6.80,59.83,64.07,66.28,18.85,19.96,21.59,14.44,15.97,19.03,0.88,0.95,1.02,0.82,0.95,1.04,0.8,0.95,1.09,0.88,0.95,0.99,0.31,1.75,3.4,0.09,3.06,11.59
24172,3487349,欧　冠,里斯本竞技,曼城,3.80,4.59,5.70,3.55,4.18,4.60,1.42,1.66,1.85,3.31,4.08,4.40,3.55,3.93,5.20,1.64,1.80,1.89,21.47,23.21,27.45,17.47,24.11,25.55,50.25,52.68,55.07,0.77,0.95,1.02,0.86,0.95,1.25,0.86,0.95,1,0.88,0.95,0.99,1.58,1.57,0.45,2.49,2.46,0.2
24172,3438137,英　冠,布里斯托城,谢菲尔德联队,2.45,2.79,3.05,2.80,3.18,3.45,2.16,2.49,2.80,2.50,2.71,2.95,2.85,3.19,3.45,2.35,2.57,2.75,32.03,34.44,35.56,27.23,29.25,30.61,34.94,36.30,39.81,0.86,0.93,1.02,0.83,0.93,1.01,0.85,0.93,1,0.85,0.93,0.99,0.76,0.81,0.74,0.57,0.65,0.54
24172,3438139,英　冠,牛津联队,赫尔城,2.30,2.64,2.81,2.80,3.24,3.55,2.30,2.57,3.00,2.50,2.74,2.96,3.05,3.34,3.60,2.20,2.46,2.65,32.44,34.03,35.88,26.13,27.95,29.00,35.91,38.01,41.44,0.85,0.93,1.01,0.85,0.93,1.01,0.84,0.93,1.01,0.85,0.93,0.99,0.83,0.89,0.67,0.7,0.79,0.45
24172,3438141,英　冠,巡游者,米德尔斯堡,3.10,3.81,4.10,3.05,3.43,3.80,1.68,1.91,2.20,3.38,3.75,4.05,3.10,3.51,3.80,1.75,1.93,2.04,23.30,24.95,27.21,24.84,26.63,27.96,45.65,48.42,51.86,0.84,0.93,1.01,0.83,0.93,1.01,0.85,0.93,0.99,0.86,0.93,0.99,1.5,1.02,0.48,2.24,1.03,0.23
24172,3438142,英　冠,谢菲尔德星期三,诺维奇,2.00,2.26,2.45,3.00,3.35,3.60,2.73,2.99,3.25,2.05,2.29,2.48,3.05,3.39,3.65,2.72,2.96,3.15,39.72,40.83,44.25,25.82,27.56,28.61,29.92,31.61,33.06,0.84,0.93,1.01,0.84,0.94,1.01,0.86,0.93,1,0.85,0.93,0.99,0.59,0.96,0.86,0.35,0.91,0.74
24172,3438140,英　冠,普利茅斯,朴茨茅斯,2.05,2.25,2.42,3.05,3.44,3.75,2.60,2.93,3.25,2.00,2.20,2.32,3.15,3.51,3.75,2.75,3.02,3.25,41.34,42.44,45.77,25.27,26.59,27.90,28.87,30.97,32.66,0.85,0.93,0.98,0.84,0.93,1,0.85,0.93,1.01,0.85,0.93,0.99,0.54,1.17,0.95,0.29,1.36,0.91
