playid,host,guest,result,"old_odw,min","old_odd,min","old_odl,min","new_odw,min","new_odd,min","new_odl,min","old_wp,min","old_dp,min","old_lp,min","new_wp,min","new_dp,min","new_lp,min","old_odw,mean","old_odd,mean","old_odl,mean","new_odw,mean","new_odd,mean","new_odl,mean","old_wp,mean","old_dp,mean","old_lp,mean","new_wp,mean","new_dp,mean","new_lp,mean","old_odw,max","old_odd,max","old_odl,max","new_odw,max","new_odd,max","new_odl,max","old_wp,max","old_dp,max","old_lp,max","new_wp,max","new_dp,max","new_lp,max"
24189,布伦特福德,莱切斯特城,,1.56,3.65,3.47,1.55,3.80,4.00,49.98%,21.52%,19.68%,55.78%,21.54%,18.08%,1.71,4.11,4.24,1.62,4.23,4.87,54.93%,22.84%,22.24%,58.22%,22.35%,19.43%,1.90,4.50,4.90,1.70,4.50,5.40,58.29%,24.62%,26.28%,59.99%,23.51%,22.62%
24189,水晶宫,纽卡斯尔联,,2.62,3.08,2.05,2.73,3.10,2.05,29.48%,25.01%,37.55%,28.47%,25.60%,39.68%,2.92,3.46,2.29,3.07,3.54,2.22,32.04%,27.04%,40.92%,30.76%,26.70%,42.54%,3.20,3.75,2.51,3.30,3.77,2.37,34.65%,29.49%,43.64%,34.44%,28.59%,44.85%
24189,诺丁汉森林,伊普斯维奇,,1.53,3.50,4.00,1.59,3.38,4.12,53.91%,21.55%,17.19%,52.20%,23.79%,18.56%,1.65,3.94,4.88,1.72,3.80,4.73,56.95%,23.80%,19.25%,55.07%,24.90%,20.03%,1.75,4.40,5.50,1.78,4.00,5.13,60.98%,25.37%,21.83%,57.64%,26.26%,21.55%
24189,狼队,伯恩茅斯,,2.45,3.30,2.18,2.49,3.23,2.20,32.60%,24.05%,36.96%,33.26%,25.00%,37.14%,2.68,3.65,2.37,2.75,3.58,2.40,34.94%,25.67%,39.39%,34.30%,26.39%,39.31%,2.90,4.00,2.60,2.88,3.80,2.58,37.34%,27.81%,40.83%,35.50%,27.68%,40.16%
24189,西汉姆联,阿森纳,,4.00,3.90,1.30,5.40,4.15,1.30,12.62%,19.26%,58.86%,12.41%,19.26%,61.16%,5.87,4.39,1.49,6.98,4.63,1.43,16.02%,21.31%,62.67%,13.59%,20.42%,65.98%,7.00,4.75,1.58,8.00,5.00,1.52,20.31%,23.32%,67.96%,16.88%,21.99%,67.96%
24189,弗赖堡,门兴格拉德巴赫,,1.70,3.15,3.20,1.80,3.27,3.18,46.89%,23.22%,22.98%,45.01%,24.62%,23.39%,1.84,3.75,3.87,1.98,3.68,3.54,50.90%,24.91%,24.19%,47.71%,25.64%,26.65%,1.92,4.15,4.20,2.10,3.91,4.00,52.63%,27.47%,27.55%,51.98%,27.11%,28.01%
24189,莱比锡红牛,沃尔夫斯堡,,1.40,3.80,4.12,1.50,3.60,3.85,56.07%,19.10%,13.02%,51.90%,21.91%,16.73%,1.53,4.31,5.49,1.72,3.94,4.46,61.13%,21.71%,17.16%,54.85%,23.93%,21.22%,1.65,4.89,7.25,1.81,4.35,5.50,66.24%,23.36%,21.50%,61.35%,25.27%,23.48%
24189,柏林联合,勒沃库森,,3.60,3.35,1.58,4.00,3.31,1.60,18.67%,21.48%,48.30%,19.40%,24.37%,51.29%,4.28,3.81,1.75,4.53,3.73,1.75,21.93%,24.56%,53.51%,20.82%,25.32%,53.86%,5.00,4.40,1.90,5.00,3.97,1.83,25.64%,26.75%,58.47%,22.65%,26.81%,55.49%
24189,云达不来梅,斯图加特,,2.76,2.94,1.93,2.65,3.35,1.95,28.67%,23.18%,41.58%,29.71%,24.24%,38.64%,3.08,3.74,2.08,2.90,3.67,2.26,30.28%,24.96%,44.77%,32.51%,25.68%,41.80%,3.31,4.15,2.27,3.10,3.95,2.42,34.03%,28.29%,47.26%,34.26%,27.10%,46.05%
24189,多特蒙德,拜仁慕尼黑,,3.30,3.50,1.50,3.90,3.85,1.50,20.26%,19.11%,51.23%,19.45%,20.30%,53.02%,4.20,4.21,1.69,4.47,4.28,1.66,22.39%,22.27%,55.35%,21.13%,22.07%,56.80%,4.75,4.78,1.83,4.90,4.60,1.80,26.64%,25.38%,58.85%,23.28%,24.79%,60.25%
24189,AC米兰,恩波利,,1.25,4.10,4.20,1.25,4.35,7.25,60.62%,18.05%,10.06%,66.88%,17.12%,9.35%,1.36,4.74,8.13,1.34,5.02,8.86,68.63%,19.77%,11.61%,70.49%,18.81%,10.69%,1.43,5.25,9.50,1.40,5.53,10.50,70.91%,22.11%,19.92%,72.49%,20.80%,12.55%
24189,西班牙人,维戈塞尔塔,,2.60,3.00,2.02,2.90,3.05,2.02,28.03%,26.72%,36.51%,28.03%,27.42%,39.66%,3.02,3.30,2.30,3.19,3.29,2.24,30.98%,28.29%,40.73%,29.45%,28.59%,41.97%,3.35,3.60,2.60,3.45,3.50,2.35,35.16%,30.41%,43.85%,31.18%,29.74%,43.85%
24189,巴利亚多利德,马德里竞技,,4.20,2.62,1.40,5.25,3.55,1.40,13.64%,22.93%,48.34%,13.64%,22.25%,56.96%,5.29,3.64,1.66,6.23,4.02,1.54,17.81%,25.79%,56.40%,15.16%,23.49%,61.35%,6.50,4.20,1.82,7.20,4.30,1.62,20.91%,32.10%,63.33%,17.36%,25.67%,63.33%
24189,巴黎圣日尔曼,南特,,1.11,4.90,7.25,1.11,5.65,8.87,70.22%,12.48%,6.48%,74.51%,12.20%,6.48%,1.23,6.35,10.46,1.20,7.01,12.01,75.99%,14.88%,9.13%,78.59%,13.48%,7.93%,1.34,7.90,15.00,1.25,8.05,15.00,80.98%,18.18%,12.01%,81.16%,15.56%,10.08%
