playid,host,guest,result,"old_odw,min","old_odd,min","old_odl,min","new_odw,min","new_odd,min","new_odl,min","old_wp,min","old_dp,min","old_lp,min","new_wp,min","new_dp,min","new_lp,min","old_odw,mean","old_odd,mean","old_odl,mean","new_odw,mean","new_odd,mean","new_odl,mean","old_wp,mean","old_dp,mean","old_lp,mean","new_wp,mean","new_dp,mean","new_lp,mean","old_odw,max","old_odd,max","old_odl,max","new_odw,max","new_odd,max","new_odl,max","old_wp,max","old_dp,max","old_lp,max","new_wp,max","new_dp,max","new_lp,max"
24204,卢顿,德比郡,3,1.87,2.85,3.00,1.90,2.80,3.00,43.04%,25.79%,24.75%,42.77%,27.24%,24.24%,2.05,3.29,3.49,2.10,3.13,3.62,45.15%,28.21%,26.64%,44.43%,29.79%,25.79%,2.24,3.70,3.85,2.21,3.34,4.10,48.09%,30.00%,28.93%,46.05%,30.87%,29.96%
24204,拜仁慕尼黑,莱比锡红牛,3,1.14,4.30,3.50,1.12,5.50,8.00,59.67%,13.97%,8.65%,71.27%,12.16%,6.87%,1.36,5.49,6.88,1.21,7.18,11.37,68.71%,17.16%,14.13%,78.29%,13.27%,8.44%,1.55,6.40,10.25,1.33,8.00,14.00,77.22%,20.23%,23.53%,80.41%,17.24%,11.82%
24204,杜塞尔多夫,马格德堡,0,1.75,3.20,2.95,1.88,3.20,2.86,42.66%,24.39%,22.88%,42.84%,24.33%,27.75%,1.89,3.63,3.63,2.08,3.63,3.15,48.95%,25.46%,25.60%,44.76%,25.65%,29.59%,2.22,3.85,4.10,2.20,3.92,3.50,52.34%,26.99%,31.27%,46.98%,26.86%,31.46%
24204,埃尔沃斯堡,沙尔克,0,1.88,3.20,2.75,1.88,3.25,2.80,41.57%,24.03%,27.83%,42.05%,24.52%,28.04%,2.10,3.61,3.02,2.09,3.62,3.11,43.89%,25.58%,30.52%,44.40%,25.66%,29.94%,2.26,3.95,3.35,2.22,3.87,3.45,47.09%,26.90%,32.69%,47.25%,27.62%,32.01%
24204,维罗纳,AC米兰,0,3.65,3.10,1.47,4.80,3.65,1.44,16.82%,21.43%,52.12%,15.90%,22.28%,56.95%,5.22,4.13,1.57,5.48,3.99,1.60,17.93%,22.66%,59.41%,17.29%,23.71%,59.00%,5.75,4.50,1.65,6.20,4.30,1.68,21.99%,25.89%,61.65%,19.13%,25.76%,61.12%
24204,赫罗纳,巴利亚多利德,3,1.30,4.00,5.30,1.23,4.35,6.40,61.78%,18.13%,11.32%,64.86%,17.84%,9.46%,1.41,4.64,6.98,1.35,4.96,8.96,66.31%,20.17%,13.52%,70.26%,19.11%,10.63%,1.50,5.25,8.53,1.45,5.30,10.50,69.98%,21.99%,16.44%,72.04%,20.45%,14.69%
24204,1特鲁瓦,梅斯1,3,2.50,2.97,1.98,2.40,2.99,2.09,27.16%,25.87%,36.54%,29.52%,27.68%,34.65%,2.77,3.30,2.34,2.62,3.17,2.56,33.05%,27.77%,39.19%,35.09%,28.99%,35.92%,3.26,3.70,2.60,3.00,3.35,2.78,35.24%,29.58%,44.72%,36.90%,30.31%,42.37%
24204,瓦尔韦克,兹沃勒,1,2.55,3.20,2.00,2.45,3.05,2.15,31.71%,24.74%,39.15%,32.91%,25.24%,36.64%,2.78,3.56,2.29,2.71,3.47,2.44,33.35%,26.07%,40.58%,34.55%,27.02%,38.42%,3.05,3.85,2.40,2.94,3.75,2.65,34.55%,27.73%,41.57%,36.12%,28.36%,40.56%
24204,坎布尔,阿尔克马尔青年队,0,1.29,2.85,4.88,1.26,4.30,5.10,49.04%,17.06%,13.37%,63.19%,16.68%,11.79%,1.41,4.78,5.68,1.35,5.01,6.95,64.64%,19.20%,16.16%,68.29%,18.40%,13.31%,1.87,5.40,6.60,1.43,5.80,8.00,68.76%,32.17%,18.79%,70.60%,20.57%,17.46%
24204,多德勒支,埃因霍温FC,1,1.59,3.52,3.45,1.63,3.52,3.25,51.28%,21.25%,21.60%,47.54%,22.52%,21.83%,1.72,4.01,3.81,1.79,3.87,3.71,53.22%,22.77%,24.01%,51.37%,23.78%,24.84%,1.80,4.35,4.30,1.90,4.20,4.20,56.29%,24.32%,26.31%,55.24%,25.15%,27.52%
24204,埃门,登博思,0,1.57,3.38,3.50,1.40,3.75,4.20,49.57%,23.07%,20.13%,53.53%,19.96%,15.24%,1.74,3.72,3.99,1.51,4.31,5.20,52.51%,24.54%,22.94%,60.90%,21.33%,17.77%,1.87,4.00,4.40,1.72,4.80,6.20,56.43%,25.71%,25.92%,64.11%,24.55%,21.92%
24204,埃因霍温青年队,维迪斯,3,2.37,3.40,2.22,2.40,3.50,2.05,35.70%,23.00%,35.18%,31.20%,22.86%,39.39%,2.48,3.73,2.37,2.80,3.71,2.18,36.84%,24.53%,38.63%,32.92%,24.80%,42.27%,2.60,4.00,2.66,3.10,4.10,2.31,39.32%,26.07%,39.91%,36.76%,25.95%,44.90%
24204,乌德勒支青年队,海尔蒙特,3,2.62,3.00,2.11,2.50,3.15,2.04,29.95%,25.26%,38.29%,29.96%,25.50%,36.26%,2.85,3.37,2.23,2.75,3.39,2.34,32.06%,27.12%,40.83%,33.54%,27.15%,39.31%,3.01,3.65,2.45,3.05,3.68,2.55,34.11%,29.95%,41.86%,36.26%,28.25%,43.23%
24204,卡萨皮亚,阿罗卡,3,2.10,2.80,2.87,2.10,2.75,2.87,38.68%,28.13%,26.75%,38.39%,29.81%,25.36%,2.27,3.04,3.21,2.32,2.91,3.38,40.73%,30.41%,28.86%,40.21%,32.14%,27.65%,2.37,3.38,3.45,2.45,3.15,3.85,43.95%,31.52%,31.01%,42.04%,33.66%,30.85%
24203,切尔西,沙姆洛克流浪,3,1.01,7.25,14.00,1.02,7.95,17.00,81.84%,5.05%,1.55%,84.24%,5.85%,2.50%,1.05,11.99,26.98,1.06,12.09,26.54,88.17%,8.02%,3.81%,88.45%,7.88%,3.67%,1.11,19.00,60.00,1.10,16.60,38.00,93.07%,11.97%,6.44%,91.27%,11.02%,5.25%
