playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
25011,埃弗顿,1,10,2,4,4,7,9,21,7,3,11,43,32,11,24,15,34%
25011,热刺,0,10,3,3,4,18,17,20,3,8,9,15,26,-11,17,16,15%
25011,曼联,1,10,3,2,5,15,20,21,7,10,4,32,29,3,31,10,34%
25011,布赖顿,0,10,2,6,2,15,13,21,7,5,9,26,29,-3,26,13,34%
25011,诺丁汉,1,10,8,1,1,17,7,21,1,3,17,13,47,-34,6,20,5%
25011,南安普敦,0,10,1,1,8,7,24,21,12,5,4,30,20,10,41,3,58%
25011,伊普斯,1,10,3,1,6,10,14,21,10,5,6,38,29,9,35,8,48%
25011,曼城,0,10,4,3,3,24,12,21,3,7,11,20,37,-17,16,18,15%
25011,柏林联合,1,10,0,1,9,5,21,17,8,4,5,30,21,9,28,6,48%
25011,美因茨,0,10,6,1,3,18,12,17,4,4,9,13,24,-11,16,15,24%
25011,不来梅,1,10,5,2,3,19,15,17,5,4,8,19,33,-14,19,12,30%
25011,奥格斯堡,0,10,3,3,4,14,14,17,7,5,5,31,32,-1,26,9,42%
25011,卡利亚里,1,10,2,3,5,10,18,20,5,5,10,14,32,-18,20,14,25%
25011,莱切,0,10,3,3,4,10,13,20,4,6,10,19,33,-14,18,18,20%
25011,帕尔马,1,10,3,1,6,11,19,20,3,5,12,18,33,-15,14,19,15%
25011,威尼斯,0,10,1,3,6,8,15,20,4,7,9,25,35,-10,19,15,20%
25011,维罗纳,1,10,3,1,6,11,22,20,11,3,6,34,28,6,36,5,55%
25011,拉齐奥,0,10,4,3,3,12,16,20,6,1,13,24,44,-20,19,18,30%
25011,国际米兰,1,10,7,1,2,23,7,20,4,8,8,19,25,-6,20,14,20%
25011,恩波利,0,10,1,4,5,13,18,19,13,5,1,48,17,31,44,2,69%
25011,皇马,1,10,7,2,1,30,15,19,6,4,9,24,29,-5,22,14,32%
25011,拉帕马斯,0,10,5,1,4,13,15,19,13,4,2,43,19,24,43,2,69%
25011,奥萨苏纳,1,10,3,4,3,14,17,19,6,7,6,22,22,0,25,10,32%
25011,巴列卡诺,0,10,4,3,3,16,15,19,6,7,6,23,28,-5,25,12,32%
25011,巴伦西亚,1,10,3,3,4,13,11,19,8,4,7,17,13,4,28,7,43%
25011,皇家社会,0,10,7,2,1,16,3,19,2,7,10,18,29,-11,13,20,11%
25011,马赛,1,10,7,2,1,23,10,17,6,5,6,30,29,1,23,10,36%
25011,斯特拉斯,0,10,4,2,4,16,14,17,11,3,3,39,20,19,36,2,65%
25010,布伦特,1,10,2,2,6,15,18,20.0,14.0,5.0,1.0,48.0,20.0,28.0,47.0,1.0,70%
25010,利物浦,0,10,6,3,1,26,11,21.0,8.0,4.0,9.0,40.0,37.0,3.0,28.0,11.0,39%
25010,莱切斯特,1,10,2,1,7,14,25,21.0,7.0,9.0,5.0,32.0,30.0,2.0,30.0,10.0,34%
25010,富勒姆,0,10,3,6,1,19,14,21.0,3.0,5.0,13.0,23.0,46.0,-23.0,14.0,19.0,15%
25010,西汉姆联,1,10,3,2,5,13,24,21.0,5.0,9.0,7.0,23.0,28.0,-5.0,24.0,15.0,24%
25010,水晶宫,0,10,5,3,2,15,13,21.0,7.0,5.0,9.0,27.0,41.0,-14.0,26.0,13.0,34%
25010,阿森纳,1,10,6,3,1,19,9,21.0,10.0,5.0,6.0,31.0,32.0,-1.0,35.0,8.0,48%
25010,维拉,0,10,7,1,2,17,13,21.0,12.0,7.0,2.0,41.0,19.0,22.0,43.0,2.0,58%
25010,拜仁,1,10,7,1,2,26,8,17.0,8.0,3.0,6.0,38.0,29.0,9.0,27.0,7.0,48%
25010,沃夫斯堡,0,10,7,1,2,26,13,17.0,13.0,3.0,1.0,53.0,13.0,40.0,42.0,1.0,77%
25010,波鸿,1,10,6,0,4,14,8,17.0,9.0,3.0,5.0,29.0,24.0,5.0,30.0,4.0,53%
25010,莱红牛,0,10,4,0,6,19,23,17.0,3.0,2.0,12.0,15.0,36.0,-21.0,11.0,18.0,18%
25010,基尔,1,10,4,0,6,17,21,17.0,3.0,5.0,9.0,20.0,34.0,-14.0,14.0,16.0,18%
25010,霍芬海姆,0,10,1,3,6,7,21,17.0,3.0,2.0,12.0,25.0,43.0,-18.0,11.0,17.0,18%
25010,斯图加特,1,10,6,2,2,22,15,17.0,8.0,3.0,6.0,25.0,30.0,-5.0,27.0,8.0,48%
25010,弗赖堡,0,10,4,2,4,14,22,17.0,8.0,5.0,4.0,32.0,26.0,6.0,29.0,5.0,48%
25010,勒沃库森,1,10,10,0,0,24,5,17.0,7.0,3.0,7.0,26.0,26.0,0.0,24.0,11.0,42%
25010,门兴,0,10,4,3,3,16,15,17.0,11.0,5.0,1.0,41.0,23.0,18.0,38.0,2.0,65%
25010,尤文图斯,1,10,3,6,1,18,12,19.0,8.0,7.0,4.0,29.0,19.0,10.0,31.0,8.0,43%
25010,AC米兰,0,10,6,3,1,19,10,20.0,7.0,13.0,0.0,32.0,17.0,15.0,34.0,5.0,35%
25010,亚特兰大,1,10,5,3,2,18,11,20.0,15.0,2.0,3.0,32.0,12.0,20.0,47.0,1.0,75%
25010,那不勒斯,0,10,7,1,2,15,7,20.0,13.0,4.0,3.0,44.0,21.0,23.0,43.0,3.0,65%
25010,贝蒂斯,1,10,5,2,3,12,13,19.0,4.0,5.0,10.0,21.0,31.0,-10.0,17.0,18.0,22%
25010,阿拉维斯,0,10,2,5,3,10,13,19.0,6.0,7.0,6.0,21.0,23.0,-2.0,25.0,11.0,32%
25010,赫塔费,1,10,5,2,3,9,5,19.0,12.0,2.0,5.0,51.0,22.0,29.0,38.0,3.0,64%
25010,巴萨,0,10,6,1,3,28,13,19.0,4.0,7.0,8.0,13.0,16.0,-3.0,19.0,17.0,22%
25010,朗斯,1,10,4,2,4,13,13,17.0,13.0,4.0,0.0,46.0,15.0,31.0,43.0,1.0,77%
25010,巴黎圣曼,0,10,6,3,1,19,9,17.0,7.0,6.0,4.0,21.0,16.0,5.0,27.0,7.0,42%
25009,伯恩利,1,10,5,5,0,11,4,26.0,14.0,8.0,4.0,39.0,22.0,17.0,50.0,4.0,54%
